Cluster,difference
2,63.679997
2,72.41999600000001
2,67.88001100000001
2,83.45998699999998
2,66.89999
2,64.60001
2,78.42001000000002
2,81.340004
2,81.78000200000001
2,93.69999999999999
2,89.58001300000001
2,78.359998
2,86.500004
2,73.820001
2,69.95999800000001
2,64.76001400000001
2,86.15999899999998
2,82.959988
2,81.940013
2,89.32000099999999
2,65.18
2,84.02000600000001
2,90.87998599999999
2,81.56000200000001
2,74.00000299999999
2,75.599987
2,77.67999800000001
2,73.03999999999999
2,91.75999599999999
2,66.56000199999998
2,88.920001
2,85.479992
2,83.979992
2,93.5
2,85.74000199999999
2,78.960009
2,63.820002
2,75.11999199999998
2,72.299997
2,69.68000299999999
2,85.320012
2,86.559987
2,79.51999799999999
2,71.48000200000001
2,72.260003
2,94.259998
2,77.49999900000002
2,74.460002
2,79.05999399999999
2,76.419987
2,84.600002
2,64.459999
2,78.71999900000002
2,82.62
2,71.18000199999999
2,82.580002
2,68.239999
2,84.839998
2,68.84000300000001
2,69.780001
2,97.76000299999998
2,72.160002
2,76.699993
2,76.759997
2,78.619993
2,59.78000300000001
2,90.179989
2,68.71999799999999
2,74.180001
2,70.10000199999999
2,80.159997
2,88.100002
2,87.5
2,60.240001
2,86.5
2,88.61999999999998
2,80.239998
2,86.819995
2,70.19999800000001
2,80.48000300000001
2,69.94000199999999
2,76.28000099999998
2,92.360003
2,62.320009
2,97.62
2,83.53999800000001
2,77.24001000000001
2,67.51999900000001
2,76.240002
2,57.860001
2,70.28
2,78.999999
2,77.140011
2,66.379999
2,83.98000200000001
2,81.199997
2,89.54000099999999
2,74.51999199999999
2,86.02000100000001
2,79.80000600000001
0,47.799999
0,36.400002
2,53.600003
3,85.599999
3,106.4
0,41.0
2,54.799998
0,49.0
0,35.799994999999996
0,42.599999
0,63.199999000000005
1,95.400009
3,116.799999
0,80.2
0,75.799998
0,39.200001
0,33.399997
0,54.0
1,55.000002
0,68.600002
2,71.799992
2,48.2
3,126.799999
0,57.800002000000006
3,49.6
0,44.200001
3,102.39999
3,126.99999899999999
0,39.0
0,65.199998
1,59.0
1,64.400001
3,84.199993
3,123.39999
1,31.0
0,54.599998
1,70.200002
0,101.799992
3,116.199997
3,89.599998
2,52.599998
