cornyield_smooth1960,cornyield_smooth2000,Cluster
82.400002,157.39999,0
64.82,128.25999,0
69.459999,133.58,0
65.260002,132.88,0
80.779999,148.7,0
62.739998,134.98,0
72.639999,145.78,0
56.48,,0
79.099998,153.53999,0
74.299995,148.46001,0
58.98,120.8,0
71.800003,141.34,0
79.760002,157.08,0
50.920002,,0
71.540001,144.14,0
58.599998,116.56,0
75.639999,146.02,0
68.540001,126.24,0
71.300003,144.34,0
63.639999,131.98,0
66.900002,130.56,0
69.619995,135.75999,0
52.459999,,0
70.779999,142.89999,0
68.18,126.04,0
65.980003,129.52,0
66.5,139.92,0
72.18,137.67999,0
60.48,131.53999,0
70.860001,139.75999,0
68.879997,138.2,0
61.459999,115.38,0
75.32,146.45999,0
73.300003,141.74001,0
80.099998,151.68001,0
66.5,128.17999,0
60.18,120.46,0
76.18,146.78,0
58.619999,124.68,0
61.939999,120.82,0
59.700001,127.64,0
68.160004,136.16,0
61.740002,142.06,0
68.260002,136.54001,0
65.440002,111.4,0
73.559998,133.66,0
75.019997,131.48,0
61.0,112.94,0
74.32,148.53999,0
63.98,139.22,0
67.68,136.94,0
55.939999,122.8,0
75.440002,134.2,0
57.559998,128.34,0
74.0,148.22,0
63.419998,140.12,0
78.779999,153.51999,0
66.720001,127.26,0
60.639999,,0
63.139999,124.52,0
59.32,130.53999,0
71.379997,136.14,0
53.459999,107.98,0
60.16,127.34,0
77.639999,133.58,0
62.900002,145.3,0
68.739998,134.18001,0
70.419998,147.22,0
64.599998,134.3,0
63.18,124.5,0
70.459999,144.48,0
68.040001,129.42,0
56.880001,133.16,0
66.760002,138.06,0
54.200001,117.52,0
68.279999,125.08,0
65.080002,117.52,0
61.5,140.68001,0
55.720001,,0
78.919998,146.06,0
83.020004,153.38,0
79.340004,145.39999,0
60.84,139.2,0
71.639999,143.46001,0
64.919998,131.38,0
71.660004,131.39999,0
75.879997,142.16,0
53.32,121.04,0
60.119999,114.64,0
71.459999,132.82001,0
67.900002,134.28,0
77.580002,155.04001,0
64.120003,127.8,0
66.660004,139.08,0
63.799999,131.68001,0
68.800003,152.25999,0
57.18,124.07999,0
72.5,137.10001,0
79.82,158.24001,0
75.159996,156.5,0
74.559998,156.34,0
69.68,163.38,0
68.379997,157.96001,0
73.440002,151.8,0
67.839996,154.34,0
73.959999,147.78,0
75.400002,145.36,0
69.979996,134.74001,0
80.540001,166.7,0
68.080002,151.03999,0
70.879997,152.82001,0
62.619999,151.94,0
54.98,120.16,0
65.660004,149.68001,0
65.160004,156.03999,0
79.059998,160.62,0
