cornyield_smooth1960,cornyield_smooth1970,cornyield_smooth1975,cornyield_smooth1980,cornyield_smooth1990,cornyield_smooth2000
,,,,,
,37.799999,39.400002,47,66.139999,86.559998
,,,,,
,38.400002,37.400002,69.199997,74.900002,98.919998
,42.799999,51.200001,62.799999,68.760002,73.82
,34.200001,49,49,,80.959999
,,,73.599998,,
,,,,,
,40.400002,52,60,64.800003,
,38.200001,45.400002,57.200001,61.200001,68.5
,40,38.599998,,,
,36.200001,42.599998,45.599998,64.400002,73.720001
,,,,,
,43.799999,47.400002,52.200001,,
,,,,,
,,,,,
,40.799999,45.799999,61.200001,,
,47.200001,53.599998,63.599998,57.639999,78.800003
,,,,,
,41.200001,52,,,
,,,,,
,,,,,
,,,,,
,,,,,
,44.400002,51.599998,69.800003,,
,41,52.799999,63.799999,,
,,,,,
,53.400002,58.799999,64.199997,,73.519997
,,,,,
,,,,,
,40.599998,44,,,
,38.599998,38.799999,40.799999,65.199997,84.379997
,31.4,39.400002,37,,
,42.400002,42.200001,49.599998,,
,,,,,
,39.200001,37.799999,,,
,43.599998,41.799999,61.799999,66.400002,82.260002
,38,40,62.200001,76.199997,85.260002
29.76,49.52,55.599998,51.360001,68.779999,52.5
34.119999,43.68,45.860001,55.439999,82.18,92.519997
31.6,49.899998,44.360001,44.559998,59.540001,68.860001
28.1,37.32,49.639999,81.779999,123.66,163.12
24.58,35.220001,39.279999,31.5,50.16,
23.559999,31.139999,44.18,41,75.959999,
22.48,29.960001,36.52,27.280001,,
29.559999,37.82,46.439999,50.380001,82.580002,105.58
30.799999,42.739998,49.900002,55.860001,93.18,107.26
34.200001,45.260002,48.82,52.459999,74.020004,87.800003
32.580002,46.060001,46.540001,37.420002,71.82,
27.559999,45.779999,45.259998,51.060001,92.5,117.18
35.119999,43.02,42.360001,48.880001,50.34,56.200001
32,43.5,54.119999,65.800003,70,96.639999
36.200001,43.68,51.34,53.66,53.579998,57.200001
34.540001,50.600002,58.580002,55.32,75.080002,66.760002
26.120001,42.940002,51.119999,60.32,80.099998,89.360001
26.139999,37,40.920002,26.34,58,
35.239998,39.040001,53.459999,70.099998,113.42,145.46001
31.459999,,,46.459999,43.260002,
26.719999,43.32,47.299999,48.060001,64.479996,
27.42,39.119999,40.32,44.880001,54.599998,
40.720001,45.619999,52.939999,57.32,68.339996,
27.799999,47.299999,45.119999,41.920002,55.599998,
28.699999,40.16,55.239998,50.220001,,
17.440001,31.32,,,,
28.92,42.220001,53.380001,55.099998,80,72.139999
32.82,38.139999,47.860001,50.419998,,
28.6,36.880001,43.880001,,,
32.82,38.400002,41.900002,55.66,94.68,
22.24,35.82,43.32,34.82,,
31.440001,43.400002,44.68,55.439999,53.759998,
25.379999,37.200001,34.720001,,,
33.560001,47.939999,45.940002,51.700001,76.599998,106.4
35.82,45.560001,46.560001,57,75.639999,105.1
19.76,27.719999,48.639999,43.16,67.18,
33.16,44.860001,49.66,58.139999,74.899994,75.339996
28.879999,40.060001,44.739998,34.239998,63,
24.68,37.18,41.619999,37.720001,,
29.699999,43.880001,44.299999,57.880001,66.160004,78.800003
33.48,42.16,52.48,57.779999,76.82,
33.380001,44.099998,80.760002,78.700005,73.040001,
32.200001,35.34,55.84,77.639999,115.5,131.24001
27.040001,38.98,,,,
23.92,34.119999,37.779999,44.639999,86.860001,100.54
27.780001,41.259998,44.02,55.739998,74.620003,78.400002
29.860001,37.439999,46.759998,67.220001,127.54,155.44
24.66,32.459999,,,,
35.860001,35.700001,48.84,73.360001,109.26,138.8
29.58,37.900002,45.48,53.18,68.720001,
28.280001,46.360001,48.639999,52.48,60.919998,62.299999
23.219999,28.700001,42.48,38.299999,,
25.68,37.759998,44.860001,50.18,73.639999,73
37.040001,44.220001,51.880001,46.959999,63.400002,69
41.599998,56.02,65.520004,71.739998,76.18,
26.779999,37.720001,47.540001,34.579998,,
31.719999,41.98,47.860001,61.799999,87.580002,89.699997
28.540001,45.82,51.959999,55.939999,63.32,
25.92,31.74,40.32,44.900002,72.440002,
28.68,35.919998,47.619999,,68,
40.16,50.66,53.080002,58.84,69.220001,
20.780001,38.34,44.259998,32.5,60.799999,
22.84,,,,,
29.74,40.419998,43.880001,69.440002,101.56,106.46
36.18,38.360001,49.52,67.199997,80.459999,89.379997
18.960001,32.380001,40.98,39.48,,
25.299999,36.02,43.940002,35.639999,,
34.84,43.540001,49.48,58.16,,
27.5,35.82,50.459999,55.799999,70.979996,
19.280001,29.74,38.34,26.620001,,
22.9,44.040001,50.439999,45.619999,83.879997,
21.040001,34.5,40.360001,37.5,,
25.940001,38.639999,50.040001,48.740002,85.360001,
25.360001,38.440002,39.139999,39.220001,53.919998,
27.68,38.040001,44.66,26.280001,75.120003,
37.34,48.639999,56.740002,53.799999,87.699997,114.78
34.200001,45.48,47.66,53.399998,87.120003,98.620003
24.360001,32.32,40.060001,42.739998,,
27.059999,36.099998,46.259998,32.060001,,
29.84,45.799999,51.900002,55.84,74.360001,97.800003
27.08,44.18,49.099998,57.440002,105.46,163.66
26.9,42.139999,50.240002,50.880001,76.540001,91
21.620001,29.620001,37.380001,35.540001,75.839996,89
23.059999,33.48,34.760002,27.059999,,
29.32,40.32,42.540001,32.98,79.720001,
31.799999,42.380001,49.220001,52.32,65.380005,72.260002
27.299999,37.420002,40.84,44.860001,64.32,87.959999
33.720001,43.540001,50.52,66.379997,105.88,138.5
25.92,40.239998,45.419998,47.860001,,
20.68,28.299999,46.299999,30.1,,
31.300001,43.939999,49.700001,48.639999,62.34,
29.640001,39.919998,44.900002,49.099998,60.84,63.299999
39.959999,53.860001,57.779999,58.98,72.220001,
20.459999,40.100002,46.68,44.84,69.760002,
27,,,,,
31.98,46.540001,52.419998,58.720001,82.159996,97.599998
24.719999,36.32,38.580002,35.220001,,
22.860001,35.260002,38.18,44.32,54.040001,70.68
28.440001,36.459999,43.920002,40.32,65,
28.559999,35.5,53.200001,81.120003,122.58,140.60001
32.759998,41.18,50.900002,81.839996,108.82,156.8
25.08,31.24,42.619999,,91.080002,
24.76,42.52,45.779999,39.259998,57.440002,57.66
24.280001,33.18,42.139999,34.579998,82.980003,
32.16,46.18,56.48,65.639999,78.959999,
22.960001,28.539999,,,,
26.42,34.959999,44.439999,32.82,48.060001,
24.92,34.48,35.84,40.200001,,
