cornyield_smooth1980,cornyield_smooth2000
92.080002,123.4
97.800003,135.3
102.36,119.66
117.24,132.8
111.62,142.22
127.28,147.60001
99.82,119.94
133.64,156.58
123.08,150
116.4,151.98
98.339996,137.59999
123.42,151.3
131.17999,151.46001
63.599998,94.599998
66.599998,87
76.800003,99.400002
,113.8
120.8,134.8
61,85
84.400002,113.2
,93.400002
66.599998,87.199997
51.400002,86.199997
60.799999,103.4
115.2,133.60001
,152
108.2,124.2
99.400002,123.2
69,85
,
,80.599998
60.799999,98
103.6,85.400002
70.800003,102.2
97.800003,131.39999
80,101.2
127.2,159
,100.4
,74
,79
130.8,173.39999
120,166.2
76.400002,83.400002
84.800003,110.6
114,95.400002
110,96.800003
139.2,165.39999
133.8,186.39999
114.6,95
72.800003,97.599998
120.8,122.8
,
113.4,136.39999
138.8,188
117,125
67.800003,94.599998
77.800003,102.6
116.4,112
74.400002,89
128.2,154.8
,138
124.6,145.39999
63.200001,94.400002
111,118
77.400002,89.199997
,74.199997
69.599998,85.599998
115.6,94
71.400002,78
116.6,136
,77.199997
73,95.800003
123.2,188.39999
73.599998,85
96.800003,96.400002
60.599998,87
67.400002,76.199997
119.6,146.2
72,95.199997
56.400002,98.199997
99.800003,80.800003
122.8,92.599998
68.800003,82.400002
108.6,113
95.800003,98
124.4,146
106.8,77.599998
95.400002,112.2
128.2,153
114.4,90.400002
102.8,136
108.8,114.2
122.8,120.4
90.199997,99
97.199997,79.800003
,105.4
59.400002,56.599998
,93.599998
117.6,130.2
114.2,138.39999
128.8,171.8
88.400002,120.4
130.8,145.60001
112.4,148.60001
112.4,95.800003
121.8,133.8
125,164.39999
122.4,173.60001
94.800003,79.800003
126.8,142.8
95.800003,95.199997
78.599998,87.400002
111.4,126
90.599998,89.599998
116.6,140.8
61,96.400002
63.599998,93.199997
80.800003,90
82.800003,89.800003
84.800003,95.800003
87.800003,
83.599998,119.8
86.800003,111.2
96,114.4
,
90.400002,118.4
105,88.400002
,
92.400002,80
97,
93,97.400002
88.800003,100.4
86.599998,121.6
85,114
75.599998,112.4
87.400002,
86,124.6
94.199997,111.6
85.400002,
86.400002,103.2
90.400002,123
99.199997,100.8
80.199997,
80.400002,105
75.599998,115
75,103.4
102,123.6
