prec_smooth1980,tavg_smooth1980,dday31C_smooth1980,prec_smooth1990,tavg_smooth1990,dday31C_smooth1990,prec_smooth2000,tavg_smooth2000,dday31C_smooth2000,Cluster
66.959885,23.839985,66.452873,62.939499,23.530155,42.945499,44.810814,24.478598,68.905342,1
59.057613,22.768604,68.408203,64.60479,22.304956,44.002739,53.419136,23.295847,69.925438,1
59.05933,24.235722,84.160545,67.800545,23.726376,50.06073,51.86063,24.58145,89.976974,1
54.778809,23.03146,65.141174,57.515285,22.724478,41.632305,52.608582,23.4041,56.146626,1
71.42054,23.495121,52.757,63.575375,23.131271,36.014996,49.699932,24.066456,52.81089,1
64.129669,23.912205,67.419937,66.218559,23.482033,42.411148,48.34729,24.538689,70.225792,1
58.860672,24.284674,92.849464,68.452621,23.609678,47.668976,54.744762,24.620592,99.271271,1
59.467068,23.341097,83.31942,64.749428,22.786036,53.65427,54.195518,23.710234,82.989464,1
68.24231,23.650476,63.863693,60.089405,23.353815,39.225082,42.518051,24.217043,61.95425,1
62.467911,21.303854,33.608852,65.777687,20.769815,21.757633,59.493828,21.808729,33.48317,0
58.429359,21.697014,48.237072,62.81913,21.148722,29.999496,52.180561,22.050495,48.922024,1
57.873528,24.393127,86.174767,67.142403,23.820267,48.41954,54.2924,24.734354,92.433502,1
63.276348,23.138599,56.462547,61.471252,22.84918,40.076141,56.762691,23.669641,48.240776,1
67.867661,23.436234,54.404293,61.269997,23.196302,38.202747,45.52578,24.173389,59.312263,1
73.156013,22.49263,63.452873,76.540237,21.981264,36.827309,56.392246,23.049341,74.967621,1
63.578747,23.979721,86.940254,67.512535,23.202606,38.975594,56.47348,24.097443,82.25956,1
62.15308,21.492483,34.658695,65.2332,20.914083,19.376133,53.1479,21.766123,32.530098,0
64.285973,23.627132,71.614365,66.462814,23.114393,40.831718,53.204037,24.262127,80.994095,1
58.203793,23.107733,73.986176,64.819824,22.757858,50.14658,50.308796,23.636717,78.96376,1
69.43486,23.638088,56.671703,65.912834,23.273308,38.370022,49.854305,24.388083,61.799332,1
70.163071,23.111282,71.773582,71.925346,22.492294,35.639297,55.746292,23.493195,78.079193,1
66.110634,23.29364,60.52483,59.344021,22.985186,40.128216,52.028244,23.718359,51.492775,1
74.464233,22.219242,47.672749,82.627228,21.697611,25.111998,64.938232,22.749596,58.235023,1
54.552052,22.861444,72.902237,63.28067,22.297716,45.030373,51.080444,23.339365,77.613434,1
