prec_smooth1960,tavg_smooth1960,dday30C_smooth1960,prec_smooth1970,tavg_smooth1970,dday30C_smooth1970,prec_smooth1980,tavg_smooth1980,dday30C_smooth1980,prec_smooth1990,tavg_smooth1990,dday30C_smooth1990,prec_smooth2000,tavg_smooth2000,dday30C_smooth2000,Cluster
87.328407,24.143417,68.504868,73.278946,24.42281,84.002151,83.763832,24.467394,82.43325,86.962303,23.848629,57.161293,75.79895,24.687157,88.786049,1
61.355942,22.322247,48.068966,64.758369,22.237579,36.106907,67.726463,22.494425,55.058552,66.465691,21.98126,34.824135,61.638012,22.863054,54.285675,1
62.723946,22.35313,62.335625,67.704453,22.321409,55.613953,69.502953,22.732128,72.994896,70.104317,22.224171,59.09343,65.025192,23.180405,78.59639,1
63.151604,22.048038,46.81086,68.463058,22.013083,42.558517,71.45919,22.214567,53.156494,73.441803,21.888964,42.687653,63.801136,22.766535,58.193199,1
76.544998,24.452864,75.742882,68.887909,24.544855,83.974579,74.020615,24.510094,84.127632,74.201088,24.173916,72.950737,68.321159,24.483749,88.98513,1
58.570534,23.622925,74.219963,60.96941,23.651815,71.256226,66.05172,23.871681,87.546715,65.106117,23.535894,68.769272,54.052895,24.24519,91.298714,1
61.31485,23.757393,77.553322,61.261765,23.741938,75.369675,65.075539,23.945053,92.02301,65.575378,23.657402,76.259537,53.827103,24.474167,95.389633,1
70.714981,24.361132,80.022812,69.786186,24.459101,84.718025,67.718567,24.547228,86.631607,62.127151,24.203337,80.710083,59.49575,24.305,97.946243,1
72.930374,24.660931,80.656914,68.428093,24.712885,85.855553,70.060654,24.661957,85.159866,68.379555,24.447256,83.025398,62.768909,24.58481,95.582924,1
63.995041,21.47983,32.717548,64.353195,21.42594,25.128839,65.730476,21.574394,37.95026,71.045418,21.17058,28.806349,65.72258,22.022799,39.24371,3
61.929489,22.879122,65.026001,66.635056,22.819897,54.362324,69.676918,23.120667,73.354446,65.863586,22.6485,51.195305,66.681442,23.663774,80.470116,1
63.416363,22.520523,67.066704,69.432198,22.531982,61.078686,70.825142,22.909185,75.121208,70.950241,22.308994,57.761375,64.944656,23.355375,84.388786,1
60.302959,22.08951,49.164589,67.021172,22.172199,50.704109,69.252281,22.234077,57.114895,72.338707,21.975,50.162106,59.989708,22.704636,59.047756,1
61.223156,22.505997,54.606976,65.267303,22.509394,48.57296,68.472244,22.574108,58.546669,69.637589,22.378143,52.015614,60.18914,23.228109,67.923279,1
65.367729,23.229713,62.790142,67.212959,23.180031,55.927963,63.59259,23.479429,70.868034,68.526337,23.048157,53.185863,52.996143,23.551996,68.554886,1
62.294312,22.102715,47.351067,62.657787,22.117609,41.194775,68.268661,22.157953,49.477131,68.301079,21.904688,44.85516,60.829647,22.746717,58.820282,1
63.016079,24.08721,78.685677,58.206104,23.970076,73.236488,64.693359,24.114626,77.460281,63.829918,23.753584,72.008423,55.559307,24.314806,87.524536,1
