prec_smooth1960,tavg_smooth1960,dday32C_smooth1960,prec_smooth1970,tavg_smooth1970,dday32C_smooth1970,prec_smooth1980,tavg_smooth1980,dday32C_smooth1980,prec_smooth1990,tavg_smooth1990,dday32C_smooth1990,prec_smooth2000,tavg_smooth2000,dday32C_smooth2000,Cluster
70.679184,23.955805,21.922115,65.844444,23.993061,23.981848,65.071159,23.999485,27.524052,67.663002,23.706738,21.509399,63.825386,24.192305,31.08683,1
63.901546,22.266775,13.286202,63.226601,22.003736,9.9738474,65.382988,22.322622,19.804876,64.712479,21.964518,10.491808,58.522243,22.529957,17.918989,1
61.566319,23.542685,24.259775,62.369644,23.533365,22.92816,59.403301,23.80615,32.587776,62.293026,23.449047,23.720789,49.836231,23.770851,30.1626,1
61.79351,22.304987,15.024682,65.306152,22.191238,10.443753,69.882362,22.533667,21.364334,62.22554,21.992287,10.333815,65.743286,22.892048,19.114571,1
62.279408,23.139933,25.026363,66.765533,23.037659,19.768394,70.384552,23.361012,29.873995,62.722015,22.878719,20.161177,62.809868,23.633076,33.139648,1
61.702431,23.602913,23.727377,62.612251,23.580896,21.953794,67.898544,23.857346,33.741249,68.83358,23.542332,22.567747,55.810589,24.204439,35.055279,1
61.393238,22.793209,21.055681,64.410408,22.575539,14.641931,68.701363,22.961542,25.828018,62.418518,22.411951,14.316769,60.864265,23.199108,24.921389,1
64.914474,23.242893,16.560015,65.503899,23.07988,14.846415,64.634964,23.276623,21.519499,69.009018,22.846155,14.819394,56.788277,23.393078,23.162771,1
56.281799,23.36253,24.753592,63.266258,23.355083,21.511852,67.813126,23.745203,34.601719,62.520504,23.250238,22.329817,56.036278,24.292435,40.42466,1
62.905762,22.365885,17.175385,66.352196,22.302814,12.375913,69.023277,22.542429,23.332983,69.120232,22.165049,16.03001,66.009415,23.17721,26.326473,1
80.519501,24.171141,30.945976,64.770386,24.319447,33.441849,83.025978,24.409914,38.767361,75.335213,23.842167,21.151932,66.695732,24.542034,37.53952,1
66.676674,23.859417,23.795109,62.006927,23.87735,26.333796,70.854965,23.937147,31.309423,65.779518,23.434019,19.422993,62.271011,24.21476,30.934706,1
66.038956,22.080717,11.706289,68.379593,22.030107,8.3837357,71.493324,22.207092,17.284822,73.492935,21.881926,11.853702,67.207413,22.855433,19.365837,1
