cornyield_smooth1980,cornyield_smooth2000,Cluster
130.39999,161.39999,2
89.400002,114.6,2
87.599998,112.8,2
87.599998,119.4,2
122.6,147.0,2
111.2,131.60001,2
77.400002,89.0,2
118.2,135.2,2
122.6,157.39999,2
109.0,128.25999,2
111.12,133.58,2
103.82,132.88,2
121.48,148.7,2
103.44,134.98,2
118.72,145.78,2
94.979996,,2
119.04,153.53999,2
115.2,148.46001,2
99.220001,120.8,2
106.98,141.34,2
120.52,157.08,2
88.660004,,2
112.2,144.14,2
96.760002,116.56,2
117.76,146.02,2
96.379997,126.24,2
114.3,144.34,2
105.66,131.98,2
101.3,130.56,2
114.46,135.75999,2
89.5,,2
115.06001,142.89999,2
104.04,126.04,2
97.020004,129.52,2
109.12,139.92,2
119.78,137.67999,2
105.24,131.53999,2
117.94,139.75999,2
114.88,138.2,2
99.360001,115.38,2
117.7,146.45999,2
113.5,141.74001,2
127.92,151.68001,2
112.4,128.17999,2
102.98,120.46,2
108.02,146.78,2
100.38,124.68,2
96.199997,120.82,2
98.379997,127.64,2
119.34,136.16,2
111.18,142.06,2
99.919998,136.54001,2
98.139999,111.4,2
110.34,133.66,2
106.56,131.48,2
97.779999,112.94,2
120.8,148.53999,2
113.42,139.22,2
94.340004,136.94,2
111.02,122.8,2
110.94,134.2,2
104.14,128.34,2
119.72,148.22,2
107.14,140.12,2
119.56001,153.51999,2
97.080002,127.26,2
90.439995,,2
104.06001,124.52,2
105.74,130.53999,2
108.78,136.14,2
97.139999,107.98,2
103.06,127.34,2
106.28,133.58,2
110.12,145.3,2
97.18,134.18001,2
109.5,147.22,2
111.04,134.3,2
102.28,124.5,2
118.0,144.48,2
99.099998,129.42,2
104.74,133.16,2
112.68,138.06,2
101.4,117.52,2
93.5,125.08,2
94.540001,117.52,2
111.48,140.68001,2
93.5,,2
118.26,146.06,2
122.96,153.38,2
117.58,145.39999,2
107.1,139.2,1
114.4,143.46001,2
103.26,131.38,2
106.06,131.39999,2
119.72,142.16,2
103.24,121.04,2
101.44,114.64,2
114.5,132.82001,2
111.4,134.28,2
116.74001,155.04001,2
98.279999,127.8,2
106.25999,139.08,2
101.04,131.68001,2
120.0,152.25999,2
97.220001,124.07999,2
109.2,137.10001,2
122.3,158.24001,2
126.94,156.5,2
126.4,156.34,2
127.1,163.38,2
130.5,157.96001,2
126.62,151.8,2
122.74,154.34,2
129.64,147.78,2
114.28,145.36,2
109.44,134.74001,2
135.52,166.7,2
128.58,151.03999,2
121.32,152.82001,2
120.32,151.94,2
94.619995,120.16,2
124.22,149.68001,2
121.9,156.03999,2
126.78,160.62,2
98.360001,145.2,2
120.12,147.89999,2
104.52,133.58,2
98.18,121.86,2
128.62,161.42,2
127.3,145.48,2
123.32,145.56,2
123.8,158.03999,2
