cornyield_smooth1960,cornyield_smooth2000
45.400002,110.6
36.400002,95.400002
32.400002,96.800003
81.199997,165.39999
63,186.39999
64,95
43,97.599998
52.599998,122.8
31.200001,
34.599998,136.39999
71.800003,188
35.400002,125
42,94.599998
45.599998,102.6
44.799999,112
50.599998,89
59.200001,154.8
31.4,138
31,145.39999
39.599998,94.400002
65.599998,118
51,89.199997
38,74.199997
46.599998,85.599998
53,94
42,78
42.599998,136
32.400002,77.199997
42.799999,95.800003
66.199997,188.39999
45.400002,85
39.799999,96.400002
42,87
39.400002,76.199997
53,146.2
44,95.199997
42.200001,98.199997
28.200001,80.800003
27.799999,92.599998
43.799999,82.400002
48,113
37.799999,98
45,146
37.599998,77.599998
46.200001,112.2
31,153
33,90.400002
33.599998,136
44.400002,114.2
33,120.4
45,99
37.400002,79.800003
49.599998,105.4
33,56.599998
40.200001,93.599998
75.400002,130.2
42.400002,138.39999
72.599998,171.8
55.200001,120.4
44,145.60001
56.599998,148.60001
39.799999,95.800003
28.4,133.8
67.800003,164.39999
62.799999,173.60001
37.400002,79.800003
38.799999,142.8
29,95.199997
46.200001,87.400002
39.799999,126
44,89.599998
71.800003,140.8
43.200001,96.400002
43.400002,93.199997
54.200001,90
44.400002,89.800003
43.5,95.800003
50.119999,
46.799999,119.8
47.400002,111.2
52.799999,114.4
42.540001,
55.220001,118.4
65.199997,88.400002
51.380001,
55.559998,80
62.619999,
48.200001,97.400002
53.119999,100.4
42.599998,121.6
48,114
45,112.4
50,
47.400002,124.6
58.380001,111.6
43.02,
46.099998,103.2
55.599998,123
61.700001,100.8
41.82,
43.66,105
43.299999,115
43.599998,103.4
55,123.6
42.700001,93.400002
44.119999,
47.040001,85.800003
65.639999,98.400002
61.700001,96.599998
59.16,90.599998
53.5,130
50.380001,
55.82,92.400002
48.799999,
45,121
42.900002,88.800003
48.099998,103
44.52,85.199997
48.48,124.2
57.799999,112
39.799999,
59.299999,107.2
53.299999,97.599998
53.599998,122.8
59.200001,99.199997
54,122.2
49,112
42.279999,
59.119999,109.4
55.700001,91.599998
49.580002,
40.98,103.4
54.200001,116.6
43.5,102.8
44.119999,
44.52,
49.739998,95
56.5,112.2
43.200001,110.6
51.5,127.6
43.099998,112.8
43.200001,108.6
38.66,
51,125.4
54.700001,108.8
43.119999,
56.200001,128.2
39.799999,107
35.66,
65.419998,94.400002
51.400002,107.8
41.119999,
55.799999,95.400002
45,101
43.299999,97.800003
56.439999,90.800003
48.080002,
42.599998,103
55.700001,117.4
51.68,
42.700001,128.39999
59.48,123.4
55.639999,
44.559998,
52.02,105.8
37.760002,
45.239998,
46.200001,113
51.5,
48.080002,104.8
43.299999,
43.68,113.4
55.599998,94.800003
60.5,113.8
53.900002,119.8
58.419998,103
54.700001,114
55.299999,125.4
49.099998,124.2
57.959999,
63.599998,132.60001
50.900002,126.6
52.900002,105.2
49.5,128.8
52.299999,117
37.760002,107
44.52,
55.52,107.8
,
,
,
,
,105.78
,
,
,
,111.36
,
,
,
,110.94
,
,102.02
,
,
,129.46001
,
,
,129.42
,
,
,
