prec_smooth1980,tavg_smooth1980,dday30C_smooth1980,prec_smooth1990,tavg_smooth1990,dday30C_smooth1990,prec_smooth2000,tavg_smooth2000,dday30C_smooth2000,Cluster
54.552052,22.861444,101.44756,63.28067,22.297716,68.328163,51.080444,23.339365,108.72245,1
68.611588,23.583538,91.339233,60.896923,23.3909,66.505386,44.005177,24.304478,97.304031,1
70.556282,23.694532,97.423523,61.359425,23.315895,66.62265,44.170658,24.206753,96.895409,1
53.610252,22.557732,82.603149,54.738731,22.187006,55.209126,52.868568,22.661882,66.236488,1
73.4655,23.419458,78.980629,61.329422,23.143238,60.591068,50.769279,24.049128,82.657692,1
71.296051,23.447142,104.01853,68.780167,23.272423,75.77063,50.720806,23.928247,103.37411,1
63.2672,23.123833,113.70504,71.055008,22.48868,71.740318,59.891109,23.418808,111.90409,1
59.448639,21.877947,62.647499,62.731018,21.257187,38.71357,52.998791,22.152409,64.6399,1
58.999088,23.286821,111.78572,67.956284,22.90983,85.543152,57.127155,23.838179,124.50999,1
64.405922,23.856417,127.52666,73.804985,23.307178,81.263321,55.347691,24.170244,130.42284,1
55.349831,22.108061,81.871346,59.777332,21.744366,59.002563,50.990643,22.672167,86.847954,1
60.787251,21.968807,66.315536,66.390869,21.584225,44.79073,53.490433,22.522539,73.867302,1
62.848152,23.982153,104.00704,71.082146,23.641298,80.140289,52.141693,24.513777,119.86209,1
64.92485,22.468489,84.649437,65.727264,22.038225,58.998898,53.233562,22.953266,91.954079,1
61.287575,21.649044,55.15501,65.313683,21.257669,41.551491,62.734222,22.17905,61.350449,1
69.457069,23.300631,94.749649,61.806026,23.069883,68.628067,48.027309,23.885952,98.083099,1
69.922241,23.383341,88.364685,60.591946,23.17873,64.781174,47.740494,24.008652,88.926132,1
54.43082,22.990299,103.40949,64.056091,22.604067,73.152428,51.608681,23.703848,115.60098,1
5.2342691,19.149727,42.041973,3.995399,19.55003,37.706528,5.4347677,19.429939,52.225502,2
8.6358442,13.898628,7.9428058,8.1587448,14.631623,9.0547619,7.4323354,14.466222,9.8137674,2
14.018477,20.268116,89.125244,10.109341,20.702438,88.650314,13.163928,20.591867,96.247185,2
9.9842834,21.1015,99.778252,8.7683363,21.945871,127.40359,9.5579338,21.507772,121.09122,3
12.40554,20.465864,99.857315,9.0393114,20.670532,95.092369,11.627268,20.785635,108.95493,3
6.0728354,21.36459,115.6565,5.4936757,22.067917,131.48972,6.5417771,21.65629,120.23266,3
4.8270426,20.312265,50.694576,3.8698101,20.694244,53.515957,4.9124327,20.640913,64.995255,2
40.583958,13.543819,0.017122518,35.073586,14.0904,0.003629803,25.947672,13.51965,0.006746497,2
17.620232,19.295511,64.387375,12.939423,20.231794,71.989769,16.49959,19.90147,70.864227,2
3.5175183,22.262051,148.78735,2.8121147,23.036964,157.02061,3.7589729,22.829769,165.67859,3
8.4011297,20.925724,98.024712,7.7470031,21.661297,117.95526,8.7448101,21.181787,107.65369,3
20.222208,13.760022,1.3376517,17.254063,14.169889,1.7938614,13.176024,13.94148,1.5247593,2
1.8900779,28.630661,511.19339,2.1254044,28.718349,481.65308,1.2328657,28.910561,527.59778,3
4.1442242,18.995089,89.805893,2.9836674,19.600025,91.363686,3.1297805,19.401869,111.8158,2
3.7108455,23.481264,180.15224,2.013881,23.695585,175.18411,3.748076,23.503292,188.48376,3
3.4760108,22.72567,164.62987,2.4179542,23.408596,165.90329,3.633853,23.477757,195.06741,3
11.313174,19.182005,80.831093,9.0682821,19.583391,72.486496,10.832199,19.171936,68.431755,2
10.797026,13.99046,15.650832,10.425318,14.899942,18.695648,10.933396,14.877468,20.513935,2
3.1130755,21.346497,119.90804,2.1059508,22.120504,115.64614,4.5037346,22.400826,156.79021,3
4.7127757,21.713127,129.44217,4.0504036,22.386456,134.67027,5.2608652,22.102386,137.1311,3
8.7427845,16.260086,4.7249203,8.1944075,16.670715,3.6454251,8.8970861,16.310915,5.4185977,2
6.2937236,21.450157,116.94112,4.7061377,22.074427,118.46526,6.4253244,21.777853,121.65607,3
15.976336,15.899482,15.602549,13.826411,16.252863,13.650152,12.381021,15.872249,13.18541,2
4.6731205,21.492796,113.94337,4.1074891,22.110283,122.33175,4.9533973,21.926224,124.83273,3
11.221396,13.686218,13.616402,11.381589,14.622645,18.764565,11.419091,14.410446,19.657669,2
7.7842264,13.746883,14.660452,7.8512039,14.385318,14.710464,6.8318448,14.194628,16.608149,2
5.2840071,17.391064,28.064146,3.0020661,17.961468,28.837219,4.619813,17.562262,31.137398,2
8.464159,18.398088,33.549007,6.8075705,18.741648,26.574385,7.9117975,18.669382,34.255501,2
15.884923,19.576464,72.49527,13.571784,20.182671,71.75618,14.505352,19.875788,71.517708,2
