prec_smooth1980,tavg_smooth1980,dday28C_smooth1980,dday29C_smooth1980,prec_smooth1990,tavg_smooth1990,dday28C_smooth1990,dday29C_smooth1990,prec_smooth2000,tavg_smooth2000,dday28C_smooth2000,dday29C_smooth2000,Cluster
68.268661,22.157953,111.39706,76.395325,68.301079,21.904688,101.15641,69.135361,60.829647,22.746717,129.16998,89.800148,0
64.693359,24.114626,163.20757,115.8045,63.829918,23.753584,154.81494,108.68595,55.559307,24.314806,178.99785,128.47768,0
62.332344,23.709305,154.32304,108.99066,66.809402,23.364943,137.26915,94.981453,55.849796,23.886948,163.44949,116.03835,0
66.842873,21.957455,101.02045,67.859047,68.171921,21.661245,91.661102,61.686275,63.585754,22.447111,115.32372,78.342209,1
66.967949,23.96339,174.50153,126.64844,67.230759,23.697866,153.82593,108.23725,55.555828,24.353783,180.25755,129.7178,0
71.419518,22.281916,123.78574,87.059547,74.08989,21.866056,105.88797,72.258438,67.342392,22.767927,137.18701,96.543365,0
67.201111,22.437063,117.09003,80.835136,67.087891,21.924204,84.9198,55.548904,61.877426,22.778685,117.1823,79.043282,1
101.32086,25.037161,166.28606,114.75745,89.303741,24.411291,130.5818,85.505814,84.336586,25.137533,171.06998,117.01996,0
79.240349,24.297085,173.42429,123.74289,78.512512,23.659128,130.03888,87.292679,70.769814,24.4848,178.00478,126.09518,0
62.900799,24.142393,161.24652,113.8104,65.69912,23.806505,156.10527,109.83715,55.12846,24.304075,178.33318,127.89108,0
68.705147,22.295595,118.09902,82.149452,68.701057,22.007282,103.2721,70.544609,61.962021,22.958309,138.08432,96.794876,0
66.082222,23.758966,165.83296,119.46436,64.592552,23.521025,141.15987,97.502991,55.617153,24.231133,174.11635,124.41963,0
68.306458,23.81669,176.3868,128.61028,64.888794,23.281216,147.82422,103.93666,55.900219,24.178413,193.25177,142.07117,0
65.071159,23.999485,163.40509,116.02235,67.663002,23.706738,148.49632,103.11431,63.825386,24.192305,174.487,124.48402,0
65.382988,22.322622,123.50622,85.831665,64.712479,21.964518,93.349327,61.255615,58.522243,22.529957,121.6627,83.812263,0
59.403301,23.80615,172.76521,124.97544,62.293026,23.449047,148.3232,104.5731,49.836231,23.770851,167.45418,119.88626,0
69.882362,22.533667,127.31843,89.083412,62.22554,21.992287,89.79644,58.700886,65.743286,22.892048,129.75842,89.473869,0
70.384552,23.361012,160.20195,115.12395,62.722015,22.878719,132.4648,91.932983,62.809868,23.633076,173.18556,125.24203,0
67.898544,23.857346,173.44302,125.72031,68.83358,23.542332,149.93341,104.85823,55.810589,24.204439,183.48555,132.70338,0
68.701363,22.961542,145.09294,103.14562,62.418518,22.411951,108.01923,72.784035,60.864265,23.199108,149.06348,105.25409,0
64.634964,23.276623,140.4066,97.95491,69.009018,22.846155,117.99394,79.820969,56.788277,23.393078,146.8497,102.96013,0
67.813126,23.745203,172.26726,124.90841,62.520504,23.250238,143.58728,100.36818,56.036278,24.292435,193.76794,141.97629,0
69.023277,22.542429,131.79317,92.949379,69.120232,22.165049,110.53128,75.35524,66.009415,23.17721,151.81033,107.85367,0
83.025978,24.409914,195.98218,143.43164,75.335213,23.842167,150.6458,104.37097,66.695732,24.542034,197.38206,142.97615,0
70.854965,23.937147,170.78842,123.04753,65.779518,23.434019,138.71172,95.468391,62.271011,24.21476,175.05386,124.9952,0
71.493324,22.207092,110.59911,76.055679,73.492935,21.881926,92.567726,61.68792,67.207413,22.855433,128.57115,88.827431,0
14.334345,17.375824,66.082054,46.49284,17.005234,17.717693,58.072819,39.658413,14.885714,18.427925,81.575188,57.890076,1
14.88076,22.775438,240.18091,189.16577,19.721197,22.721598,223.0139,172.16635,18.67522,23.350405,258.08621,201.32045,0
11.234054,18.936127,134.04913,101.74079,10.963024,19.690008,150.4433,115.46126,12.840991,19.715904,158.8177,121.95862,1
11.996,24.854528,374.56516,308.80618,17.698,24.829704,346.44995,281.18457,9.7600002,25.558889,427.60483,355.16522,0
12.203542,23.549162,290.05176,233.51266,15.355486,23.489092,264.75418,208.9397,13.588778,24.281546,328.04266,264.44318,0
12.846045,21.918915,257.31396,206.36168,17.067091,21.977564,231.76437,181.62137,15.518833,23.000113,290.79892,232.65721,0
4.9885674,28.92539,717.4931,621.40637,5.2181306,29.126598,703.93518,606.28412,4.6247249,29.510231,777.16266,675.42596,0
6.1778941,27.9725,641.59198,552.58539,9.1869297,28.275589,630.81073,539.36768,7.814394,28.93519,728.078,630.53101,0
6.4229465,29.164886,750.26196,651.04822,5.4693432,29.582249,769.48627,667.02625,4.3337908,30.107046,857.67236,749.59882,0
14.192296,18.41843,91.576294,65.34301,20.097031,18.604965,78.527504,54.693417,16.355095,19.29875,108.04255,77.676376,1
14.589647,26.533527,499.46906,421.37427,15.349142,26.403021,449.78381,373.35767,15.755122,26.971064,513.24042,431.41092,0
7.9490199,27.69038,623.76367,536.93567,10.572827,27.849871,588.39996,500.73755,9.0162544,28.521393,687.01624,593.61047,0
21.530741,23.276463,296.03235,239.32352,27.33889,22.754301,224.93785,174.11079,23.852425,23.120481,247.40794,192.53667,0
12.416896,20.868736,207.12283,164.7955,16.953968,21.298639,199.94357,156.99684,16.196066,21.782232,244.49802,196.23099,0
3.5910711,28.291906,668.08234,577.20386,4.3086452,28.480734,649.82104,556.99225,3.477792,28.789505,710.99713,615.63708,0
65.939301,23.888876,178.54477,131.73151,64.163704,23.502798,144.34456,101.17403,45.386471,24.621929,200.52489,147.86809,0
65.073196,24.34026,199.44325,147.63272,68.793953,23.875498,167.31337,119.88977,54.113613,24.800497,218.48717,163.2269,0
55.998405,21.763309,135.39349,100.22207,60.292679,21.147078,101.57687,71.538826,50.648376,22.104809,137.28316,100.48493,0
59.629601,21.621546,118.07301,85.709938,63.106812,21.110773,96.052986,66.967842,62.180782,22.075109,131.09093,95.451454,1
59.816017,21.564735,109.49358,78.587471,65.187317,21.06506,83.345566,56.517982,53.762051,21.867231,115.58606,81.974319,1
62.60091,23.517866,181.24077,134.65048,71.614067,23.189163,148.42455,105.5301,53.965775,24.154873,193.05885,144.07864,0
63.160271,23.622477,188.0399,140.45836,66.845192,23.208376,147.10719,104.2541,51.28347,24.16853,201.54721,151.63452,0
60.807919,21.3512,105.2201,75.063957,65.136421,20.836193,82.860687,56.342869,57.510544,21.713608,109.32671,76.806236,1
66.048912,24.356607,198.27716,146.66292,66.545929,23.910975,164.45056,117.23711,53.154732,24.972925,225.05779,168.36598,0
68.228317,23.622526,194.62885,147.00571,65.960327,23.130241,141.16927,99.788353,55.145321,24.00292,205.11189,155.80038,0
53.658802,22.593012,154.46106,114.31372,54.243141,22.289345,123.96246,88.010338,55.366508,23.080242,145.39479,104.1924,0
66.805023,22.383183,147.6806,109.76794,65.220963,22.062725,117.34941,82.947899,51.824207,23.077761,167.98154,125.38253,0
64.345955,23.585369,179.90575,133.60838,66.320518,23.247238,144.94653,102.33927,49.728027,24.211569,192.57509,143.01401,0
62.248379,24.049129,207.02817,156.4352,69.238899,23.494905,151.68327,107.63696,50.06955,24.339558,210.24202,159.29134,0
58.390503,23.095581,186.60793,142.51344,63.176785,22.587732,144.28349,104.83468,50.243824,23.452826,191.82401,146.15607,0
59.319435,23.163055,167.87563,124.63097,58.590679,22.900084,135.17665,95.874298,53.511963,23.669849,162.55803,117.574,0
57.844154,22.862246,174.98773,132.60159,67.396027,22.642105,157.00633,116.59757,57.082405,23.580893,204.2883,157.36293,0
70.666336,23.470642,157.5892,114.30167,60.875122,23.155737,131.96219,91.687706,55.397243,24.00552,161.02785,114.66817,0
71.029762,23.347954,163.96893,120.55962,59.990364,23.09164,135.85017,95.338318,51.075966,23.805449,161.65738,116.26147,0
68.528687,23.534138,189.6861,142.49602,63.819855,23.114441,141.00368,99.422485,51.590103,24.094427,201.47514,152.05005,0
63.91494,24.068808,190.39069,141.29286,64.848701,23.682678,154.71553,109.50059,48.382404,24.867065,219.10304,163.46425,0
63.608387,23.979248,190.73581,141.74515,67.170822,23.597267,157.00244,111.77377,50.779305,24.741884,218.89555,164.01344,0
65.892006,23.047665,172.50697,130.04111,62.552349,22.659145,135.39662,96.700607,49.115181,23.556797,182.83676,137.36032,0
59.399647,22.872368,177.34077,134.6371,64.772659,22.438166,141.56779,103.22954,54.517471,23.353664,186.80716,142.18234,0
54.353432,21.319908,118.10162,86.292259,57.538342,20.939238,93.158806,64.911591,49.585224,21.848623,128.41035,93.176552,1
69.338203,23.090788,182.13809,138.42694,72.474152,22.710413,151.09882,110.62321,53.514359,23.649324,210.45226,162.7028,0
72.638519,23.502975,186.94633,140.96191,62.546337,23.200447,147.56697,105.05409,46.530247,24.0107,190.15123,141.60165,0
55.491989,22.916592,161.16406,119.35767,56.316982,22.60463,126.58064,89.380264,55.058552,23.316513,148.4243,106.29113,0
63.334679,23.800976,203.80399,154.82785,69.028458,23.11487,137.1366,96.476212,55.60318,24.10121,209.0764,159.62794,0
70.298157,23.381151,187.96408,142.38266,69.251236,23.046415,149.65378,107.90018,53.950268,23.981226,206.26544,157.21101,0
66.022888,23.634712,199.47626,151.62096,71.038094,23.003698,138.27357,98.023811,55.95126,23.993195,213.86082,164.41153,0
59.779522,22.916,168.25397,126.17802,60.776993,22.636496,133.04707,94.981743,49.906429,23.476032,172.11159,127.46593,0
54.095123,21.843575,138.36235,102.75734,61.709091,21.45752,109.51353,77.707832,50.247021,22.41806,152.9655,113.46141,0
63.440437,23.25098,173.94806,130.00195,59.092651,22.999153,137.75438,97.777847,49.878963,23.749378,171.10519,125.32619,0
66.959885,23.839985,181.27982,134.60695,62.939499,23.530155,146.43564,103.06774,44.810814,24.478598,194.77022,143.72076,0
59.057613,22.768604,172.8064,130.76163,64.60479,22.304956,133.67926,96.543663,53.419136,23.295847,179.8811,135.85428,0
59.05933,24.235722,215.25502,163.22087,67.800545,23.726376,162.20811,116.2651,51.86063,24.58145,223.086,170.16095,0
54.778809,23.03146,170.83499,127.90182,57.515285,22.724478,133.04562,94.679855,52.608582,23.4041,163.62933,119.79465,0
71.42054,23.495121,157.05666,113.93029,63.575375,23.131271,131.28336,90.801163,49.699932,24.066456,167.31818,120.08436,0
64.129669,23.912205,186.48421,138.33809,66.218559,23.482033,146.21638,102.70596,48.34729,24.538689,199.39302,147.18727,0
58.860672,24.284674,226.03485,173.3208,68.452621,23.609678,155.3228,110.8877,54.744762,24.620592,235.40775,181.6797,0
59.467068,23.341097,199.14986,152.97588,64.749428,22.786036,152.67984,112.1929,54.195518,23.710234,201.9324,154.7081,0
68.24231,23.650476,173.13571,128.52104,60.089405,23.353815,136.32793,95.178299,42.518051,24.217043,180.02174,131.7968,0
62.467911,21.303854,103.1041,73.514526,65.777687,20.769815,80.542252,54.695152,59.493828,21.808729,110.69115,78.143112,1
58.429359,21.697014,131.58179,96.896149,62.81913,21.148722,100.97971,70.85569,52.180561,22.050495,140.34698,103.02312,0
57.873528,24.393127,218.90784,166.16856,67.142403,23.820267,159.45313,113.73273,54.2924,24.734354,227.5222,173.83611,0
63.276348,23.138599,159.54866,117.16886,61.471252,22.84918,131.88696,93.043655,56.762691,23.669641,155.14592,110.68636,0
67.867661,23.436234,157.4967,114.89688,61.269997,23.196302,134.59937,93.801598,45.52578,24.173389,176.80444,128.60168,0
73.156013,22.49263,162.35849,122.38669,76.540237,21.981264,120.7302,85.586655,56.392246,23.049341,183.29826,140.17859,0
63.578747,23.979721,214.39354,163.66409,67.512535,23.202606,136.91106,95.866447,56.47348,24.097443,205.47107,156.17032,0
62.15308,21.492483,104.39881,74.551727,65.2332,20.914083,76.13105,50.923409,53.1479,21.766123,107.9738,75.928055,1
64.285973,23.627132,190.03429,142.37563,66.462814,23.114393,139.82854,98.341072,53.204037,24.262127,209.07396,157.88718,0
58.203793,23.107733,183.24895,139.39603,64.819824,22.757858,148.25826,107.95036,50.308796,23.636717,196.26921,149.58244,0
69.43486,23.638088,166.0809,121.1385,65.912834,23.273308,136.99564,95.244705,49.854305,24.388083,186.80128,135.92654,0
