cornyield_smooth1980,cornyield_smooth2000,Cluster
111.2,131.60001,1
77.400002,89.0,1
118.2,135.2,1
122.6,157.39999,1
109.0,128.25999,1
111.12,133.58,1
103.82,132.88,1
121.48,148.7,1
103.44,134.98,1
118.72,145.78,1
94.979996,,1
119.04,153.53999,1
115.2,148.46001,1
99.220001,120.8,1
106.98,141.34,1
120.52,157.08,1
88.660004,,1
112.2,144.14,1
96.760002,116.56,1
117.76,146.02,1
96.379997,126.24,1
114.3,144.34,1
105.66,131.98,1
101.3,130.56,1
114.46,135.75999,1
89.5,,1
115.06001,142.89999,1
104.04,126.04,1
97.020004,129.52,1
109.12,139.92,1
119.78,137.67999,1
105.24,131.53999,1
117.94,139.75999,1
114.88,138.2,1
99.360001,115.38,1
117.7,146.45999,1
113.5,141.74001,1
127.92,151.68001,1
112.4,128.17999,1
102.98,120.46,1
108.02,146.78,1
100.38,124.68,1
96.199997,120.82,1
98.379997,127.64,1
119.34,136.16,1
111.18,142.06,1
99.919998,136.54001,1
98.139999,111.4,1
110.34,133.66,1
106.56,131.48,1
97.779999,112.94,1
120.8,148.53999,1
113.42,139.22,1
94.340004,136.94,1
111.02,122.8,1
110.94,134.2,1
104.14,128.34,1
119.72,148.22,1
107.14,140.12,1
119.56001,153.51999,1
97.080002,127.26,1
90.439995,,1
104.06001,124.52,1
105.74,130.53999,1
108.78,136.14,1
97.139999,107.98,1
103.06,127.34,1
106.28,133.58,1
110.12,145.3,1
97.18,134.18001,1
109.5,147.22,1
111.04,134.3,1
102.28,124.5,1
118.0,144.48,1
99.099998,129.42,1
104.74,133.16,1
112.68,138.06,1
101.4,117.52,1
93.5,125.08,1
94.540001,117.52,1
111.48,140.68001,1
93.5,,1
118.26,146.06,1
122.96,153.38,1
117.58,145.39999,1
107.1,139.2,1
114.4,143.46001,1
103.26,131.38,1
106.06,131.39999,1
119.72,142.16,1
103.24,121.04,1
101.44,114.64,1
114.5,132.82001,1
111.4,134.28,1
116.74001,155.04001,1
98.279999,127.8,1
106.25999,139.08,1
101.04,131.68001,1
120.0,152.25999,1
97.220001,124.07999,1
109.2,137.10001,1
122.3,158.24001,1
126.94,156.5,1
126.4,156.34,1
127.1,163.38,1
130.5,157.96001,1
126.62,151.8,1
122.74,154.34,1
129.64,147.78,1
114.28,145.36,1
109.44,134.74001,1
135.52,166.7,1
128.58,151.03999,1
121.32,152.82001,1
120.32,151.94,1
94.619995,120.16,1
124.22,149.68001,1
121.9,156.03999,1
126.78,160.62,1
98.360001,145.2,1
120.12,147.89999,1
104.52,133.58,1
98.18,121.86,1
128.62,161.42,1
127.3,145.48,1
123.32,145.56,1
123.8,158.03999,1
132.17999,148.89999,1
125.46,158.0,1
124.68,155.98,1
129.17999,153.32001,1
104.14,129.38,1
127.48,149.03999,1
128.24001,153.28,1
111.94,137.7,1
131.3,160.74001,1
130.25999,152.17999,1
127.12,156.42,1
103.2,139.58,1
125.6,141.78,1
118.32,148.16,1
129.48,151.36,1
106.02,148.56,1
119.82,151.53999,1
116.92,149.39999,1
118.0,157.34,1
115.1,125.66,1
123.22,150.08,1
128.58,159.62,1
122.8,138.92,1
131.7,151.64,1
117.3,133.78,1
124.28,155.92,1
127.22,138.86,1
96.419998,124.06,1
108.74,154.64,1
